tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;08:21:00;BOA VIAGEM;AV DES JOSE NEVES;334;LADO OPOSTO AO SUPERMERCADO ATACADÃO;COLISÃO TRASEIRA;DOIS AUTOS;3;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/06/2019;08:40:00;DERBY;RUA JENER DE SOUZA;;APÓS O SEMAFORO 418;ABALROAMENTO LONGITUDINAL;DOIS AUTOS     GM JEFERSON JOSE E ALEX PONTO FIXO;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/06/2019;08:54:00;MADALENA;RUA NOBRE DE LACERDA;;;ABALROAMENTO TRANSVERSAL;COLISAO S/VITIMAS ENTRE DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;CANCELADA;07/06/2019;09:54:00;BOA VIAGEM;RUA SETUBAL;;;COLISÃO;COLISÃO  SEM  VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/06/2019;09:55:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;4074;EDF HOLYDAY;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;CANCELADA;07/06/2019;09:56:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;2725;EM FRENTE A UNIDAS (ALUGUEL DE CARROS);COLISÃO;COLISÃO S/VITIMAS ENTRE CAMINHÃO E AUTO;1;;;;;;1;;;0;
COLISÃO;CANCELADA;07/06/2019;10:02:00;IMBIRIBEIRA;VIADUTO TANCREDO NEVES;;NA  SUBIDA  DO  VIADUTO  TANCREDO  NEVES  /  SENT MASCARENHAS DE MORAIS;COLISÃO;COLISÃO  SEM VITIMAS;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/06/2019;10:40:00;CORDEIRO;AV GENERAL SAN MARTIN;;AO LADO DO COMPAZ;ABALROAMENTO TRANSVERSAL;DUAS MOTOS VT 16  GM MARIZA NO QTH;;1;1;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/06/2019;11:21:00;ENCRUZILHADA;RUA CEARA;352;;ABALROAMENTO LONGITUDINAL;COLISÃO S/VITIMAS ENTRE CAMIMNHAO E UM AUTO;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/06/2019;11:27:00;TORRE;AV BEIRA RIO;1219;EDF MONTELUMA;ABALROAMENTO LONGITUDINAL;MOTO E AUTO;1;1;;;;;;;;0;
COLISÃO;CANCELADA;07/06/2019;11:31:00;DERBY;RUA AMARO BEZERRA;;EM FRENTE AO QUARTEL DO DERBY, SENT. CIDADE;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;CANCELADA;07/06/2019;11:37:00;TAMARINEIRA;AV NORTE;4337;EM  FRENTE  AO POSTO   DE  GASOLINA  BR;COLISÃO;COLISÃO  SEM  VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;12:15:00;AREIAS;AV RECIFE;3968;LADO OPOSTO AO WALMART;COLISÃO TRASEIRA;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/06/2019;12:22:00;MADALENA;RUA SEVERINO PESSOA;;;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE AUTO E MICRO ONIBUS  S/V;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;12:29:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;5001;OPOSTO AO GESSO E CIA MATERIAIS E SERVIÇOS;COLISÃO TRASEIRA;COLISAO ENTRE CAMINHAO AUTO E MOTO COM UMA VITIMA;1;;;;;;1;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/06/2019;12:51:00;SÃO JOSÉ;PTE JOAQUIM CARDOSO;;LADO OPOSTO AO POSTE DE Nº K 106865;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
CHOQUE VEÍCULO PARADO;FINALIZADA;07/06/2019;13:17:00;ESTÂNCIA;AV RECIFE;5005;EM FRENTE AO SEMÁFORO 461 , AO LADO DO MAKRO;CHOQUE VEÍCULO PARADO;COLISAO ENTRE AUTO E MOTO COM UMA VITIMA;1;1;;;;;;;;1;
